Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
55429079,Furia,Yamile Saied Méndez,"Méndez, Yamile Saied",,"=""1616209917""","=""9781616209919""",0,4.27,Algonquin Young Readers,Hardcover,368,2020,2020,,2021/01/18,to-read,to-read (#361),to-read,,,,0,,,0,,,,,
40409102,This Is How It Always Is,Laurie Frankel,"Frankel, Laurie",,"=""""","=""""",0,4.25,Flatiron Books,Kindle Edition,338,2018,2017,,2021/01/18,to-read,to-read (#360),to-read,,,,0,,,0,,,,,
25201920,"The Long Way to a Small, Angry Planet (Wayfarers, #1)",Becky Chambers,"Chambers, Becky",,"=""""","=""""",5,4.15,Hodder & Stoughton,Kindle Edition,519,2015,2014,2021/01/13,2021/01/03,badass-ladies-book-club,badass-ladies-book-club (#1),read,,,,1,,,0,,,,,
32075671,"The Hate U Give (The Hate U Give, #1)",Angie Thomas,"Thomas, Angie",,"=""0062498533""","=""9780062498533""",0,4.51,Balzer + Bray,Hardcover,444,2017,2017,,2019/02/11,"to-read, badass-ladies-book-club","to-read (#125), badass-ladies-book-club (#7)",to-read,,,,0,,,0,,,,,
17899948,Rebecca,Daphne du Maurier,"Maurier, Daphne du",,"=""0316323705""","=""9780316323703""",0,4.23,"Little, Brown and Company",ebook,449,2013,1938,,2021/01/09,"to-read, badass-ladies-book-club","to-read (#353), badass-ladies-book-club (#6)",to-read,,,,0,,,0,,,,,
5704478,"My Soul to Take (Þóra Guðmundsdóttir, #2)",Yrsa Sigurðardóttir,"Sigurðardóttir, Yrsa","Bernard Scudder, Anna Yates","=""0061143383""","=""9780061143380""",0,3.75,William Morrow,Hardcover,346,2009,2006,,2021/01/09,"to-read, badass-ladies-book-club","to-read (#355), badass-ladies-book-club (#5)",to-read,,,,0,,,0,,,,,
41081373,"Girl, Woman, Other",Bernardine Evaristo,"Evaristo, Bernardine",,"=""0241364906""","=""9780241364901""",0,4.39,Hamish Hamilton,Hardcover,453,2019,2019,,2021/01/09,"to-read, badass-ladies-book-club","to-read (#354), badass-ladies-book-club (#4)",to-read,,,,0,,,0,,,,,
20820994,I'll Give You the Sun,Jandy Nelson,"Nelson, Jandy",,"=""0803734964""","=""9780803734968""",0,4.14,Dial Books,Hardcover,371,2014,2014,,2021/01/09,"to-read, badass-ladies-book-club","to-read (#356), badass-ladies-book-club (#3)",to-read,,,,0,,,0,,,,,
36809135,Where the Crawdads Sing,Delia Owens,"Owens, Delia",,"=""0735219117""","=""9780735219113""",0,4.47,G.P. Putnam’s Sons,ebook,384,2018,2018,,2021/01/09,"to-read, badass-ladies-book-club","to-read (#357), badass-ladies-book-club (#2)",to-read,,,,0,,,0,,,,,
40914165,The Book Woman of Troublesome Creek,Kim Michele Richardson,"Richardson, Kim Michele",,"=""1492671525""","=""9781492671527""",0,4.23,Sourcebooks Landmark,Paperback,309,2019,2019,,2021/01/09,to-read,to-read (#359),to-read,,,,0,,,0,,,,,
